Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Serra Preta (BA),17996,595,30.23
Serrinha (BA),80435,583,137.89
Serrolândia (BA),13335,322,41.41
Simões Filho (BA),114441,202,567.87
Sítio do Mato (BA),13408,1628,8.24
Sítio do Quinto (BA),14773,684,21.6
Sobradinho (BA),25475,1356,18.79
Souto Soares (BA),17058,1027,16.62
Tabocas do Brejo Velho (BA),11979,1437,8.34
Tanhaçu (BA),21006,1278,16.44
Tanque Novo (BA),17158,730,23.52
Tanquinho (BA),7717,244,31.65
Taperoá (BA),18044,454,39.74
Tapiramutá (BA),15818,715,22.13
Teixeira de Freitas (BA),145223,1166,124.59
Teodoro Sampaio (BA),7110,245,29.07
Teofilândia (BA),21176,352,60.18
Teolândia (BA),15332,290,52.91
Terra Nova (BA),10798,193,55.88
Tremedal (BA),16296,2010,8.11
Tucano (BA),48738,2198,22.17
Uauá (BA),24665,3060,8.06
Ubaíra (BA),18626,659,28.26
Ubaitaba (BA),17610,181,97.24
Ubatã (BA),16111,178,90.69
Uibaí (BA),13432,545,24.63
Umburanas (BA),13642,1776,7.68
Una (BA),18131,1127,16.09
Urandi (BA),15355,902,17.02
Uruçuca (BA),21420,510,41.99
Utinga (BA),16277,634,25.68
Valença (BA),85655,1124,76.21
Valente (BA),24362,395,61.7
Várzea da Roça (BA),13797,468,29.46
Várzea do Poço (BA),8101,206,39.23
Várzea Nova (BA),13377,1226,10.91
Varzedo (BA),9913,221,44.77
Vera Cruz (BA),42577,298,143.1
Vereda (BA),6003,782,7.67
Vitória da Conquista (BA),370868,3254,113.97
Wagner (BA),9503,522,18.19
Wanderley (BA),12968,2921,4.44
Wenceslau Guimarães (BA),24474,655,37.36
Xique-Xique (BA),44757,5080,8.81
