Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
Trindade do Sul (RS),7556,268,28.15
Triunfo (RS),27498,818,33.63
Tucunduva (RS),5542,181,30.59
Tunas (RS),3681,217,16.94
Tupanci do Sul (RS),1374,135,10.16
Tupanciretã (RS),20005,2253,8.88
Tupandi (RS),5029,59,84.6
Tuparendi (RS),8363,308,27.18
Turuçu (RS),3419,254,13.48
Ubiretama (RS),1994,126,15.84
União da Serra (RS),1170,131,8.92
Unistalda (RS),1995,602,3.31
Uruguaiana (RS),117210,5702,20.56
Vacaria (RS),64187,2124,30.21
Vale Verde (RS),3150,330,9.55
Vale do Sol (RS),9617,328,29.3
Vale Real (RS),6058,45,134.37
Vanini (RS),2004,65,30.88
Venâncio Aires (RS),68653,773,88.86
Vera Cruz (RS),26710,310,86.27
Veranópolis (RS),24021,289,83
Vespasiano Corrêa (RS),1818,114,16
Viadutos (RS),4769,268,17.79
Viamão (RS),224116,1497,149.76
Vicente Dutra (RS),4665,193,24.17
Victor Graeff (RS),2780,238,11.67
Vila Flores (RS),3646,108,33.85
Vila Lângaro (RS),2079,152,13.71
Vila Maria (RS),4413,181,24.37
Vila Nova do Sul (RS),3863,508,7.6
Vista Alegre (RS),2660,78,34.27
Vista Alegre do Prata (RS),1590,119,13.32
Vista Gaúcha (RS),2783,90,30.91
Vitória das Missões (RS),3260,258,12.62
Westfália (RS),3098,64,48.66
Xangri-lá (RS),16463,61,270.97
