Unidade da Federação e Município,População residente (Pessoas),Área da unidade territorial (Quilômetros quadrados),Densidade demográfica (Habitante por quilômetro quadrado)
João Monlevade (MG),80187,99,808.68
João Pinheiro (MG),46801,10727,4.36
Joaquim Felício (MG),3854,791,4.87
Jordânia (MG),10304,547,18.85
José Gonçalves de Minas (MG),3969,381,10.41
José Raydan (MG),4268,181,23.6
Josenópolis (MG),3630,541,6.7
Nova União (MG),5909,172,34.33
Juatuba (MG),30716,97,316.6
Juiz de Fora (MG),540756,1436,376.64
Juramento (MG),3768,432,8.73
Juruaia (MG),11084,220,50.3
Juvenília (MG),5789,1065,5.44
Ladainha (MG),14375,866,16.59
Lagamar (MG),6631,1475,4.5
Lagoa da Prata (MG),51412,440,116.85
Lagoa dos Patos (MG),3313,601,5.52
Lagoa Dourada (MG),12769,477,26.79
Lagoa Formosa (MG),18904,841,22.48
Lagoa Grande (MG),8969,1236,7.25
Lagoa Santa (MG),75145,229,327.56
Lajinha (MG),20835,432,48.24
Lambari (MG),20414,213,95.79
Lamim (MG),3184,119,26.85
Laranjal (MG),5963,205,29.1
Lassance (MG),7124,3204,2.22
Lavras (MG),104761,565,185.5
Leandro Ferreira (MG),3199,352,9.09
Leme do Prado (MG),4341,280,15.5
Leopoldina (MG),51145,943,54.23
Liberdade (MG),4737,401,11.8
Lima Duarte (MG),17221,849,20.29
Limeira do Oeste (MG),8687,1317,6.6
Lontra (MG),8790,259,33.95
Luisburgo (MG),6956,145,47.83
Luislândia (MG),6210,412,15.08
Luminárias (MG),5586,500,11.17
Luz (MG),17875,1172,15.26
Machacalis (MG),6487,332,19.52
Machado (MG),37684,586,64.31
Madre de Deus de Minas (MG),5191,493,10.53
Malacacheta (MG),17516,728,24.06
Mamonas (MG),5997,284,21.09
Manga (MG),18886,1950,9.68
Manhuaçu (MG),91886,628,146.24
Manhumirim (MG),20610,183,112.68
Mantena (MG),26535,685,38.73
Maravilhas (MG),7333,262,28.03
Mar de Espanha (MG),12721,372,34.23
Maria da Fé (MG),14247,203,70.22
Mariana (MG),61387,1194,51.4
Marilac (MG),4224,159,26.6
Mário Campos (MG),15861,35,450.65
Maripá de Minas (MG),3387,77,43.79
Marliéria (MG),4592,546,8.41
Marmelópolis (MG),3200,108,29.66
Martinho Campos (MG),14003,1058,13.23
Martins Soares (MG),8396,113,74.13
Mata Verde (MG),9113,228,40.05
Materlândia (MG),3963,281,14.13
Mateus Leme (MG),37841,301,125.56
Matias Barbosa (MG),14121,157,89.9
Matias Cardoso (MG),8895,1941,4.58
Matipó (MG),18552,267,69.49
Mato Verde (MG),12038,472,25.49
Matozinhos (MG),37618,252,149.01
Matutina (MG),3814,261,14.62
Medeiros (MG),3900,946,4.12
Medina (MG),20156,1436,14.04
Mendes Pimentel (MG),5606,306,18.35
Mercês (MG),10373,348,29.78
Mesquita (MG),5040,275,18.33
Minas Novas (MG),24405,1812,13.47
Minduri (MG),3741,220,17.02
Mirabela (MG),13651,723,18.87
Miradouro (MG),8968,302,29.73
Miraí (MG),13633,321,42.51
Miravânia (MG),3985,602,6.62
Moeda (MG),5125,155,33.04
Moema (MG),7548,203,37.24
Monjolos (MG),2169,651,3.33
Monsenhor Paulo (MG),8340,217,38.51
Montalvânia (MG),14060,1504,9.35
Monte Alegre de Minas (MG),20170,2596,7.77
Monte Azul (MG),20328,1001,20.3
Monte Belo (MG),13046,421,30.97
Monte Carmelo (MG),47689,1343,35.51
Monte Formoso (MG),4381,386,11.36
Monte Santo de Minas (MG),20890,595,35.13
Montes Claros (MG),414240,3590,115.39
Monte Sião (MG),24089,292,82.61
Montezuma (MG),6888,1130,6.09
Morada Nova de Minas (MG),9066,2084,4.35
Morro da Garça (MG),2411,415,5.81
Morro do Pilar (MG),3133,478,6.56
Munhoz (MG),7451,192,38.9
Muriaé (MG),104108,842,123.69
Mutum (MG),27635,1251,22.09
Muzambinho (MG),21891,410,53.4
Nacip Raydan (MG),2459,233,10.53
Nanuque (MG),35038,1518,23.08
Naque (MG),6303,127,49.56
Natalândia (MG),3520,469,7.51
Natércia (MG),4691,189,24.86
Nazareno (MG),8179,341,23.95
Nepomuceno (MG),25018,583,42.95
Ninheira (MG),10588,1108,9.55
Nova Belém (MG),3151,147,21.47
Nova Era (MG),17438,362,48.18
Nova Lima (MG),111697,429,260.18
Nova Módica (MG),3663,376,9.74
Nova Ponte (MG),14598,1111,13.14
Nova Porteirinha (MG),6706,121,55.45
Nova Resende (MG),16387,390,42
Nova Serrana (MG),105552,282,373.67
Novo Cruzeiro (MG),26975,1703,15.84
Novo Oriente de Minas (MG),10275,755,13.61
Novorizonte (MG),4571,272,16.83
Olaria (MG),1945,178,10.91
Olhos-d'Água (MG),5385,2092,2.57
Olímpio Noronha (MG),2555,55,46.77
Oliveira (MG),39262,897,43.76
Oliveira Fortes (MG),2027,111,18.24
Onça de Pitangui (MG),2969,247,12.02
Oratórios (MG),4917,89,55.21
Orizânia (MG),8437,122,69.27
Ouro Branco (MG),38724,259,149.67
Ouro Fino (MG),32094,534,60.13
Ouro Preto (MG),74824,1246,60.06
Ouro Verde de Minas (MG),5757,175,32.81
Padre Carvalho (MG),5058,446,11.33
Padre Paraíso (MG),17334,544,31.84
Paineiras (MG),4224,637,6.63
Pains (MG),8142,422,19.3
Pai Pedro (MG),5551,840,6.61
Paiva (MG),1474,58,25.23
Palma (MG),5707,316,18.03
Palmópolis (MG),6301,433,14.55
Papagaios (MG),13920,554,25.15
Paracatu (MG),94017,8231,11.42
Pará de Minas (MG),97139,551,176.22
Paraguaçu (MG),21723,424,51.2
Paraisópolis (MG),20445,331,61.72
Paraopeba (MG),24107,626,38.53
Passabém (MG),1600,94,16.99
Passa Quatro (MG),15515,277,55.97
Passa Tempo (MG),8473,429,19.74
Passa Vinte (MG),2233,247,9.06
Passos (MG),111939,1338,83.66
Patis (MG),4837,444,10.89
Patos de Minas (MG),159235,3190,49.91
Patrocínio (MG),89826,2874,31.25
Patrocínio do Muriaé (MG),5576,108,51.51
Paula Cândido (MG),8659,268,32.27
Paulistas (MG),4389,221,19.9
Pavão (MG),8047,601,13.39
Peçanha (MG),17446,997,17.5
Pedra Azul (MG),24410,1595,15.31
Pedra Bonita (MG),7320,174,42.09
Pedra do Anta (MG),3311,173,19.12
Pedra do Indaiá (MG),4112,348,11.82
Pedra Dourada (MG),2757,70,39.39
Pedralva (MG),10760,218,49.36
Pedras de Maria da Cruz (MG),10452,1526,6.85
Pedrinópolis (MG),3344,358,9.34
Pedro Leopoldo (MG),62580,293,213.71
Pedro Teixeira (MG),1810,113,16.02
Pequeri (MG),3351,91,36.89
Pequi (MG),4155,204,20.37
Perdigão (MG),12268,249,49.21
Perdizes (MG),17151,2451,7
Perdões (MG),21384,271,79.01
Periquito (MG),6553,229,28.63
Pescador (MG),3570,317,11.25
Piau (MG),2796,192,14.55
Piedade de Caratinga (MG),8529,109,78
Piedade de Ponte Nova (MG),3976,84,47.48
Piedade do Rio Grande (MG),4604,323,14.26
Piedade dos Gerais (MG),5019,260,19.33
Pimenta (MG),8563,415,20.64
Pingo-d'Água (MG),4706,67,70.69
Pintópolis (MG),7084,1229,5.77
Piracema (MG),6700,280,23.9
Pirajuba (MG),5537,338,16.38
Piranga (MG),17018,659,25.83
Piranguçu (MG),6041,204,29.67
Piranguinho (MG),9120,125,73.08
Pirapetinga (MG),11077,191,58.09
Pirapora (MG),55606,550,101.19
Piraúba (MG),11610,144,80.46
Pitangui (MG),26685,570,46.85
Piumhi (MG),36062,902,39.96
Planura (MG),11145,318,35.1
Poço Fundo (MG),16388,474,34.56
Poços de Caldas (MG),163742,547,299.37
Pocrane (MG),8350,691,12.08
Pompéu (MG),31047,2551,12.17
Ponte Nova (MG),57776,471,122.76
Ponto Chique (MG),3747,603,6.22
Ponto dos Volantes (MG),10883,1212,8.98
Porteirinha (MG),37438,1750,21.4
Porto Firme (MG),10569,285,37.11
Poté (MG),13666,625,21.86
Pouso Alegre (MG),152212,543,280.42
Pouso Alto (MG),6566,263,24.96
Prados (MG),9048,264,34.26
Prata (MG),28342,4848,5.85
Pratápolis (MG),8406,216,39
Pratinha (MG),3559,622,5.72
Presidente Bernardes (MG),4850,237,20.48
Presidente Juscelino (MG),3465,696,4.98
Presidente Kubitschek (MG),3071,189,16.23
Presidente Olegário (MG),18765,3504,5.36
Alto Jequitibá (MG),8397,152,55.14
Prudente de Morais (MG),11466,124,92.33
Quartel Geral (MG),3179,556,5.71
Queluzito (MG),1770,154,11.53
Raposos (MG),16279,72,225.38
Raul Soares (MG),23423,763,30.68
Recreio (MG),11007,234,46.98
Reduto (MG),7848,152,51.68
Resende Costa (MG),11230,618,18.16
Resplendor (MG),17226,1082,15.92
Ressaquinha (MG),4548,183,24.84
Riachinho (MG),6863,1719,3.99
Riacho dos Machados (MG),8756,1316,6.66
Ribeirão das Neves (MG),329794,155,2126.26
Ribeirão Vermelho (MG),4080,49,82.84
Rio Acima (MG),10261,228,44.93
Rio Casca (MG),12789,384,33.27
Rio Doce (MG),2484,112,22.16
Rio do Prado (MG),4639,480,9.67
Rio Espera (MG),5429,239,22.75
Rio Manso (MG),5568,232,24.05
Rio Novo (MG),8518,209,40.7
Rio Paranaíba (MG),14532,1352,10.75
Rio Pardo de Minas (MG),28271,3118,9.07
Rio Piracicaba (MG),14631,373,39.22
Rio Pomba (MG),17443,252,69.1
Rio Preto (MG),5141,348,14.77
Rio Vermelho (MG),12638,987,12.81
Ritápolis (MG),4994,405,12.34
Rochedo de Minas (MG),2291,79,28.85
Rodeiro (MG),8664,73,119.22
Romaria (MG),3386,408,8.31
Rosário da Limeira (MG),4734,111,42.59
Rubelita (MG),5679,1110,5.11
Rubim (MG),10298,965,10.67
Sabará (MG),129372,302,427.74
Sabinópolis (MG),14240,920,15.48
Sacramento (MG),26670,3073,8.68
Salinas (MG),40178,1862,21.58
Salto da Divisa (MG),6110,938,6.51
Santa Bárbara (MG),30466,685,44.51
Santa Bárbara do Leste (MG),8458,107,78.75
Santa Bárbara do Monte Verde (MG),3095,418,7.41
Santa Bárbara do Tugúrio (MG),4208,195,21.63
Santa Cruz de Minas (MG),8109,4,2274.61
Santa Cruz de Salinas (MG),3910,590,6.63
Santa Cruz do Escalvado (MG),4673,259,18.06
Santa Efigênia de Minas (MG),4039,132,30.61
Santa Fé de Minas (MG),3522,2917,1.21
Santa Helena de Minas (MG),5938,276,21.48
Santa Juliana (MG),15734,724,21.74
Santa Luzia (MG),218805,235,930.27
Santa Margarida (MG),16395,256,64.11
Santa Maria de Itabira (MG),10491,597,17.56
Santa Maria do Salto (MG),4755,441,10.79
Santa Maria do Suaçuí (MG),12788,624,20.49
Santana da Vargem (MG),6639,172,38.5
Santana de Cataguases (MG),3489,161,21.61
Santana de Pirapama (MG),7030,1256,5.6
Santana do Deserto (MG),3747,183,20.51
Santana do Garambéu (MG),2137,203,10.52
Santana do Jacaré (MG),4214,106,39.69
Santana do Manhuaçu (MG),8987,347,25.87
Santana do Paraíso (MG),44800,276,162.28
Santana do Riacho (MG),5313,677,7.85
Santana dos Montes (MG),3469,197,17.65
Santa Rita de Caldas (MG),8460,503,16.82
Santa Rita de Jacutinga (MG),4755,421,11.3
Santa Rita de Minas (MG),6773,68,99.38
Santa Rita de Ibitipoca (MG),3301,324,10.18
